x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
campaign,housing_yes,0.0,classification,True,weighted F1,0.5044,0.4125258442934525,DecisionTreeClassifier()
campaign,loan_no,0.0,classification,True,weighted F1,0.7506525486764385,0.7515610960076442,DecisionTreeClassifier()
campaign,loan_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9657313637651708,DecisionTreeClassifier()
campaign,loan_yes,0.0,classification,True,weighted F1,0.78278029386344,0.7838216632391238,DecisionTreeClassifier()
campaign,contact_cellular,0.0,classification,True,weighted F1,0.5252,0.5203296566557547,DecisionTreeClassifier()
campaign,contact_telephone,0.0,classification,True,weighted F1,0.5252,0.5164248345812177,DecisionTreeClassifier()
campaign,month_apr,0.0,classification,True,weighted F1,0.9038849111202977,0.9038849111202977,DecisionTreeClassifier()
campaign,month_aug,0.0,classification,True,weighted F1,0.7856143319663286,0.7857944463293478,DecisionTreeClassifier()
campaign,month_dec,0.0,classification,True,weighted F1,0.9934048506714773,0.9934048909366446,DecisionTreeClassifier()
campaign,month_jul,0.01,classification,True,weighted F1,0.7456105217010083,0.7480356080587596,DecisionTreeClassifier()
campaign,month_jun,0.0,classification,True,weighted F1,0.8138056593699947,0.8143759382515222,DecisionTreeClassifier()
campaign,month_mar,0.0,classification,True,weighted F1,0.9781536818777072,0.978153712550598,DecisionTreeClassifier()
campaign,month_may,0.0,classification,True,weighted F1,0.5504,0.5283858417857272,DecisionTreeClassifier()
campaign,month_nov,0.0,classification,True,weighted F1,0.8561036164844407,0.8561036164844407,DecisionTreeClassifier()
campaign,month_oct,0.0,classification,True,weighted F1,0.972187301907742,0.9721873327667856,DecisionTreeClassifier()
campaign,month_sep,0.0,classification,True,weighted F1,0.9796465565847764,0.9796465565847764,DecisionTreeClassifier()
campaign,day_of_week_fri,0.0,classification,True,weighted F1,0.7283091591260208,0.7274170359958179,DecisionTreeClassifier()
campaign,day_of_week_mon,0.0,classification,True,weighted F1,0.692644755401321,0.6920527331110395,DecisionTreeClassifier()
campaign,day_of_week_thu,0.0,classification,True,weighted F1,0.7014489682097045,0.7008564837886804,DecisionTreeClassifier()
campaign,day_of_week_tue,0.0,classification,True,weighted F1,0.7213619121389842,0.7207679050441417,DecisionTreeClassifier()
campaign,day_of_week_wed,0.0,classification,True,weighted F1,0.7119408641563924,0.7112481954886587,DecisionTreeClassifier()
campaign,poutcome_failure,0.0,classification,True,weighted F1,0.8537885521885522,0.8537885521885522,DecisionTreeClassifier()
campaign,poutcome_nonexistent,0.0,classification,True,weighted F1,0.8086619878035733,0.808662024548508,DecisionTreeClassifier()
campaign,poutcome_success,0.0,classification,True,weighted F1,0.9531504216194249,0.9531504530843764,DecisionTreeClassifier()
pdays,age,0.0,regression,True,mean absolute error,8.334,8.489598934855213,DecisionTreeRegressor()
pdays,campaign,0.0,regression,True,mean absolute error,1.5188,1.7523817839455735,DecisionTreeRegressor()
pdays,pdays,1.0,predict_itself,True,,0.0,1.0,
pdays,previous,0.0,regression,True,mean absolute error,0.1646,0.2203750389426709,DecisionTreeRegressor()
pdays,emp.var.rate,0.0,regression,True,mean absolute error,1.27854,1.372150251483085,DecisionTreeRegressor()
